Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,64,-16,47212,47212,47212,47212,47212,47212,47212,47212,47212,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,64,-16,24562.4,24562.4,24562.4,24562.4,24562.4,24562.4,24562.4,24562.4,24562.4,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.26923,1.26923,1.26923,1.26923,1.26923,1.26923,1.26923,1.26923,1.26923,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,64,-1,50189,50189,50189,50189,50189,50189,50189,50189,50189,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,64,-1,21536.6,21536.6,21536.6,21536.6,21536.6,21536.6,21536.6,21536.6,21536.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.32317,1.32317,1.32317,1.32317,1.32317,1.32317,1.32317,1.32317,1.32317,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,64,-2,42162.7,42162.7,42162.7,42162.7,42162.7,42162.7,42162.7,42162.7,42162.7,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,64,-2,19714.1,19714.1,19714.1,19714.1,19714.1,19714.1,19714.1,19714.1,19714.1,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.34505,1.34505,1.34505,1.34505,1.34505,1.34505,1.34505,1.34505,1.34505,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,64,-4,46278.9,46278.9,46278.9,46278.9,46278.9,46278.9,46278.9,46278.9,46278.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,64,-4,24033.1,24033.1,24033.1,24033.1,24033.1,24033.1,24033.1,24033.1,24033.1,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.27931,1.27931,1.27931,1.27931,1.27931,1.27931,1.27931,1.27931,1.27931,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,64,-8,46934.7,46934.7,46934.7,46934.7,46934.7,46934.7,46934.7,46934.7,46934.7,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,64,-8,23491,23491,23491,23491,23491,23491,23491,23491,23491,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.34935,1.34935,1.34935,1.34935,1.34935,1.34935,1.34935,1.34935,1.34935,ns/access,0,0,N/A,,
